id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
PGLYRP3	10.1594670618653	0.578360984817103	11.1357204313031	19.2539274322326	4.26708085285487	0.146505936407835	0.419938355134525
RPS15A	28523.8144138945	31750.4129583508	28195.0446794278	0.888021353184074	-0.17133372713812	0.146521997289467	0.419944616343511
LINC02306	31.4230751415389	12.2384114331558	33.3778695500577	2.72730408945329	1.4474755670987	0.146688069339249	0.420380780531599
AC138150.1	11.7117477517465	19.400710055448	10.9282917189979	0.563293389147324	-0.828041554785737	0.146740106314223	0.420490089706215
RPP21	387.691103893839	221.229621710239	404.65246321462	1.82910615715206	0.871138808248161	0.146802798725488	0.420572200274592
CENPS	222.120078078928	110.554957922976	233.487849564611	2.11196181474993	1.07858375033608	0.146817711222278	0.420572200274592
BAIAP2-DT	1933.6861435433	1402.23086732874	1987.83803372566	1.41762535688044	0.503476314534975	0.146818988223149	0.420572200274592
ST13P15	22.1987034387665	40.9185709153133	20.2912687905701	0.495893877441753	-1.0118966816734	0.146831764478978	0.420572200274592
NDUFAF8	1023.43092925956	693.539207492465	1057.04478368668	1.5241312564123	0.60798715140146	0.146838246971594	0.420572200274592
TEX22	56.0217746438484	23.1724136460063	59.3689142225284	2.5620513740812	1.35729940479317	0.146876629790696	0.420642324913014
UBE4A	2710.29214468326	3483.98617322836	2631.45767649066	0.755300838077745	-0.404876707196287	0.146923649929923	0.420737170498604
BCAR4	27.7797920181675	0.939555345133383	30.5146402995497	32.4777464761458	5.02137962702623	0.146964280507153	0.420804386296932
KHDC1L	3.453462373342	0.835811782109434	3.72018420995993	4.45098321128098	2.15412405908105	0.146974931869232	0.420804386296932
AL049840.6	22.9616002053701	35.0520309855229	21.7296627137945	0.619925924485495	-0.689832258036354	0.147016748632496	0.420884293242383
AC023824.1	2.00397448820295	0.11379275131159	2.1965719059385	19.3032673928745	4.27077316271886	0.147080912747168	0.420993872115771
ZFP2	170.478849086157	272.363353725618	160.097470344715	0.587808411648504	-0.766582090514055	0.147082847367414	0.420993872115771
MIF4GD	1652.37971317655	1225.40911873694	1695.88528321413	1.38393395094213	0.468775091152343	0.147139303085944	0.421115635453938
AL079303.1	13.0856940447498	4.90694956989086	13.9190557450736	2.83660052886649	1.50416299389677	0.147159705241289	0.421134199500437
TAF10	2963.63383590565	2231.63757867283	3038.2195681575	1.36143054642607	0.445123384965254	0.14720893971535	0.421235263105678
RAD21L1	16.4075486214203	1.46957460533162	17.9296325382986	12.2005595859169	3.60887541425856	0.147236815708649	0.421275196538795
SNTB1	1154.66107261444	1567.45476797397	1112.60003783029	0.709813170091274	-0.494488752033872	0.147353082684886	0.421568003525498
CLRN1	3.69511750325398	0.474384752682992	4.02328955087753	8.48106843258113	3.08424602484616	0.147378506597949	0.421600883370237
RPS3AP54	2.51374208864993	0.710056753767826	2.6975260767849	3.7990288275843	1.92563065942466	0.14741270747686	0.421658862606071
PLEKHA5	2037.14991469441	2568.93237521714	1982.96468652573	0.771902252334733	-0.37350992744634	0.147475484843759	0.421798563257411
CHST10	1052.52533418977	718.454919879471	1086.56497063437	1.51236346299452	0.596804900964275	0.147543715959768	0.421953834444382
CHRNA7	14.0609732673781	24.3533442151135	13.0122465612517	0.534310460457272	-0.904249833103605	0.147568878788779	0.421961318018919
LSM3	2859.84684701739	2188.67915339942	2928.23453807134	1.33790031925112	0.419970631465754	0.147574219010416	0.421961318018919
ELOVL1	5441.501721808	4408.48591488192	5546.75941899705	1.25820055368048	0.331361902137089	0.147636888037029	0.42206759300371
AC131254.1	5.08738332307984	1.77388464355258	5.42500762496134	3.05826404477836	1.61271297165856	0.147650528462385	0.42206759300371
NFS1	1779.90001186729	1319.65014380663	1826.79652682748	1.38430366214939	0.469160448627375	0.14767852223671	0.42206759300371
ARHGEF26-AS1	136.366988277187	60.9918435334648	144.047232962526	2.36174584366335	1.23985371925871	0.147680091594889	0.42206759300371
RNF44	3414.26156634167	2641.18732463822	3493.03288222308	1.32252371864671	0.403293596416526	0.147697138073654	0.42206759300371
RASSF10-DT	20.9987455731145	36.3995603539496	19.4295011454911	0.533783951140026	-0.905672165126411	0.147718490666187	0.42206759300371
AC118555.1	4.43923218545774	0.651099678697657	4.8252186356506	7.41087546733567	2.88964398217725	0.147740234755459	0.42206759300371
C16orf96	12.5105940938511	22.006338735105	11.5430385082229	0.52453243800202	-0.930896100545102	0.147741358240922	0.42206759300371
